category,amc,etf,benchmark_index,website_link,nse_ticker,bse_ticker,isin_code,date_of_inception,aum_in_cores,expense_ratio,overall_tracking_error,overall_tracking_difference,years_in_operation
IT,DSP Mutual Fund,DSP Nifty IT ETF,NIFTY IT TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/nifty-it-etf/dsnit-direct-growth,ITETFADD,543935,INF740KA1SX1,13-07-2023,41.88,0.2,0.05,-0.31,2.4
Private Bank,DSP Mutual Fund,DSP Nifty Private Bank ETF,Nifty Private Bank TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/nifty-private-bank-etf/dnpbe-direct-growth#schemeFundDetails,PVTBANKADD,543949,INF740KA1TA7,02-08-2023,442.56,0.16,0.03,-0.16,2.35
PSU Bank,DSP Mutual Fund,DSP Nifty PSU Bank ETF,Nifty PSU Bank TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/nifty-psu-bank-etf/dpsub-direct-growth,PSUBANKADD,543948,INF740KA1SY9,02-08-2023,178.96,0.15,0.09,-0.44,2.35
Bank,Edelweiss Mutual Fund,Edelweiss Nifty Bank ETF,Nifty Bank TRI,https://www.edelweissmf.com/types-of-mutual-funds/index-fund/edelweiss-nifty-bank-etf,EBANKNIFTY,,INF754K01TE4,18-12-2015,4.89,0.04,0.04,-0.17,9.98
Realty,Groww Mutual Fund,Groww Nifty Realty ETF,Nifty Realty TRI,https://groww.in/etfs/groww-nifty-realty-etf-ltd,GROWWRLTY,,INF666M01MN2,09-10-2025,7.44,0.42,0,,0.16
Bank,HDFC Mutual Fund,HDFC Nifty Bank ETF,Nifty Bank TRI,https://www.hdfcfund.com/explore/mutual-funds/hdfc-nifty-bank-exchange-traded-fund/regular,HDFCNIFBAN,543224,INF179KC1HY0,28-08-2020,2781.69,0.16,0.02,-0.27,5.28
IT,HDFC Mutual Fund,HDFC Nifty IT ETF,NIFTY IT TRI,https://www.hdfcfund.com/explore/mutual-funds/hdfc-nifty-it-etf/regular,HDFCNIFIT,543665,INF179KC1IA8,22-11-2022,43.81,0.2,0.05,-0.31,3.04
Private Bank,HDFC Mutual Fund,HDFC NIFTY Private Bank ETF,Nifty Private Bank TRI,https://www.hdfcfund.com/explore/mutual-funds/hdfc-nifty-private-bank-etf/regular,HDFCPVTBAN,543666,INF179KC1HZ7,22-11-2022,340.58,0.15,0.02,-0.23,3.04
PSU Bank,HDFC Mutual Fund,HDFC Nifty PSU Bank ETF,Nifty PSU Bank TRI,https://www.hdfcfund.com/explore/mutual-funds/hdfc-nifty-psu-bank-etf/regular,,544110,INF179KC1HW4,07-02-2024,33.84,0.35,0.08,-0.44,1.83
Auto,ICICI Prudential MF,ICICI Pru Nifty Auto ETF,Nifty Auto TRI,https://www.icicietf.com/funds/equity-etf/icici-prudential-nifty-auto-etf,AUTOIETF,543450,INF109KC10V2,18-01-2022,155.58,0.2,0.04,-0.3,3.88
Bank,ICICI Prudential MF,ICICI Prudential Nifty Bank ETF,Nifty Bank TRI,https://www.icicietf.com/funds/equity-etf/icici-prudential-nifty-bank-etf,BANKIETF,542730,INF109KC15I8,15-07-2019,3184.63,0.15,0.02,-0.29,6.4
Financial Services Ex-Bank,ICICI Prudential MF,ICICI Prudential Nifty Financial Services Ex-BaNk ETF,Nifty Financial Services Ex-Bank TRI,https://digitalfactsheet.icicipruamc.com/passive/icici-prudential-nifty-financial-services-ex-bank-etf.php,FINIETF,543677,INF109KC17L8,30-11-2022,218.3,0.2,0.04,-0.37,3.02
FMCG,ICICI Prudential MF,ICICI Prudential Nifty FMCG ETF,Nifty FMCG TRI,https://www.icicietf.com/funds/equity-etf/icici-prudential-nifty-fmcg-etf,FMCGIETF,543326,INF109KC19V3,10-08-2021,662.56,0.2,0.08,-0.28,4.33
Healthcare,ICICI Prudential MF,ICICI Prudential Nifty Healthcare ETF,Nifty Healthcare TRI,https://www.icicietf.com/funds/equity-etf/icici-prudential-nifty-healthcare-etf,HEALTHIETF,543292,INF109KC1Q72,18-05-2021,141.34,0.15,0.05,-0.23,4.56
IT,ICICI Prudential MF,ICICI Prudential Nifty IT ETF,NIFTY IT TRI,https://www.icicietf.com/funds/equity-etf/icici-prudential-nifty-it-etf,ITIETF,543221,INF109KC16I6,20-08-2020,506.36,0.2,0.05,-0.32,5.3
Oil and Gas,ICICI Prudential MF,ICICI Prudential Nifty Oil & Gas ETF,Nifty Oil and Gas TRI,https://www.icicietf.com/funds/equity-etf/icici-prudential-nifty-oil-&-gas-etf,,544216,INF109KC18W3,24-07-2024,222.82,0.4,0.04,-0.27,1.37
Bank,Kotak Mahindra Mutual Fund,Kotak Nifty Bank ETF,Nifty Bank TRI,https://www.kotakmf.com/mutual-funds/passive-funds/kotak-nifty-bank-etf,BANKNIFTY1,590136,INF174K01F59,11-12-2014,5196.37,0.15,0.03,-0.37,10.99
Chemicals,Kotak Mahindra Mutual Fund,Kotak Nifty Chemicals ETF,Nifty Chemicals Index,https://www.kotakmf.com/mutual-funds/passive-funds/kotak-nifty-chemicals-etf,CHEMICAL,,INF174KA1XV0,19-11-2025,,,0.3,-1.94,0.05
IT,Kotak Mahindra Mutual Fund,Kotak Nifty IT ETF,NIFTY IT TRI,https://www.kotakmf.com/mutual-funds/passive-funds/kotak-nifty-it-etf,IT,,INF174KA1GC5,05-03-2021,436.9,0.09,0.05,-0.27,4.76
PSU Bank,Kotak Mahindra Mutual Fund,Kotak Nifty PSU Bank ETF,Nifty PSU Bank TRI,https://www.kotakmf.com/mutual-funds/passive-funds/kotak-nifty-psu-bank-etf,PSUBANK,590107,INF373I01023,16-11-2007,2043.04,0.49,0.09,-0.56,18.07
Bank,Mirae Asset Mutual Fund,Mirae Asset Nifty Bank ETF,Nifty Bank TRI,https://www.miraeassetmf.co.in/mutual-fund-scheme/etf/mirae-asset-nifty-bank-etf,BANKETF,543944,INF769K01KR3,26-07-2023,267.34,0.1,0.02,-0.2,2.37
Financial Services,Mirae Asset Mutual Fund,Mirae Asset Nifty Financial Services ETF,Nifty Financial Services TRI,https://miraeassetetf.co.in/our-etfs/fund?nseSymbol=BFSI,BFSI,543323,INF769K01HI8,30-07-2021,438.29,0.12,0.06,-0.15,4.36
IT,Mirae Asset Mutual Fund,Mirae Asset Nifty IT ETF,NIFTY IT TRI,https://miraeassetetf.co.in/our-etfs/fund?nseSymbol=ITETF,ITETF,544006,INF769K01KV5,26-11-2018,148.8,0.1,0.05,-0.17,7.03
PSU Bank,Mirae Asset Mutual Fund,Mirae Asset Nifty PSU Bank ETF,Nifty PSU Bank TRI,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.miraeassetmf.co.in/docs/default-source/product-presentations/mirae-asset-nifty-psu-bank-etf-ppt---june-25.pdf,BANKPSU,544266,INF769K01LZ4,08-10-2024,53.61,0.19,0.09,-0.32,1.16
Realty,Motilal Oswal Mutual Fund,Motilal Oswal Nifty Realty ETF,Nifty Realty TRI,https://www.motilaloswalmf.com/mutual-funds/motilal-oswal-nifty-realty-etf,MOREALTY,140518732,INF247L01CI4,21-03-2024,196.77,0.4,0.04,-0.92,1.71
Auto,Nippon India Mutual Fund,Nippon Auto ETF,Nifty Auto TRI,https://mf.nipponindiaim.com/FundsAndPerformance/Pages/NipponIndia-Nifty-Auto-ETF.aspx,AUTOBEES,,INF204KC1337,25-01-2022,357.99,0.22,0.04,-0.32,3.87
Bank,Nippon India Mutual Fund,Nippon India ETF Nifty Bank BeES,Nifty Bank TRI,https://mf.nipponindiaim.com/FundsAndPerformance/Pages/NipponIndia-ETF-Nifty-Bank-BeES.aspx,BANKBEES,590106,INF204KB15I9,04-06-2004,7731.4,0.19,0.03,-0.49,21.52
IT,Nippon India Mutual Fund,Nippon India ETF Nifty IT,NIFTY IT TRI,https://mf.nipponindiaim.com/FundsAndPerformance/Pages/NipponIndia-ETF-Nifty-IT.aspx,ITBEES,590141,INF204KB15V2,01-07-2020,2896.96,0.22,0.05,-0.38,5.44
PSU Bank,Nippon India Mutual Fund,Nippon India ETF Nifty PSU Bank BeES,Nifty PSU Bank TRI,https://mf.nipponindiaim.com/FundsAndPerformance/Pages/NipponIndia-ETF-Nifty-PSU-Bank-BeES.aspx,PSUBNKBEES,590108,INF204KB16I7,01-11-2007,3663.17,0.49,0.09,-0.57,18.11
Pharma,Nippon India Mutual Fund,Nippon India Nifty Pharma ETF,Nifty Pharma TRI,https://mf.nipponindiaim.com/FundsAndPerformance/Pages/NipponIndia-Nifty-Pharma-ETF.aspx,PHARMABEES,590142,INF204KC1089,07-07-2021,1022.91,0.21,0.02,-0.28,4.42
Bank,SBI Mutual Fund,SBI Banking ETF,Nifty Bank TRI,https://www.sbimf.com/sbimf-scheme-details/sbi-nifty-bank-etf-formerly-known-as-(sbi-etf-nifty-bank)-417,SETFNIFBK,590137,INF200KA1580,25-03-2015,3997.39,0.19,0.02,-0.34,10.71
IT,SBI Mutual Fund,SBI ETF IT,NIFTY IT TRI,https://www.sbimf.com/sbimf-scheme-details/sbi-nifty-it-etf-577,SBIETFIT,,INF200KA1S14,22-10-2020,73.14,0.2,0.04,-0.28,5.13
Private Bank,SBI Mutual Fund,SBI ETF Private Bank,Nifty Private Bank TRI,https://www.sbimf.com/sbimf-scheme-details/sbi-nifty-private-bank-etf-formerly-known-as-(sbi-etf-private-bank)-576,SBIETFPB,,INF200KA1S22,22-10-2020,519.86,0.15,0.02,-0.28,5.13
Private Bank,Tata Mutual Fund,Tata Nifty Private Bank Exchange Traded Fund,Nifty Private Bank TRI,https://www.tatamutualfund.com/mutual-funds/tata-nifty-private-bank-exchange-traded-fund-direct-growth,NPBET,,INF277K010X4,09-09-2019,11.98,0.13,0.07,0.16,6.25
Bank,UTI Mutual Fund,UTI Nifty Bank ETF,Nifty Bank TRI,https://www.utimf.com/mutual-funds/uti-nifty-bank-etf-0,UTIBANKETF,543226,INF789F1AUV1,03-09-2020,3817.83,0.17,0,0.1,5.26
IT,UTI Mutual Fund,UTI Nifty IT ETF,NIFTY IT TRI,https://www.utimf.com/mutual-funds/uti-nifty-it-etf,NIFITETF,544102,INF789F1AZD8,01-02-2024,6.39,0.19,0,-0.23,1.85
CPSE,Aditya Birla Sun Life MF,Aditya Birla Sun Life Nifty PSE ETF,Nifty CPSE TRI,https://mutualfund.adityabirlacapital.com/products/wealth-creation-solutions/aditya-birla-sun-life-nifty-pse-etf,ABSLPSE,544218,INF209KB19Z4,23-05-2024,32.0103,0.2,0.07,-0.13,1.54
Nifty PSE,Aditya Birla Sun Life MF,Aditya Birla Sun Life Nifty PSE ETF,Nifty PSE TRI,https://mutualfund.adityabirlacapital.com/products/wealth-creation-solutions/aditya-birla-sun-life-nifty-pse-etf,ABSLPSE,544218,INF209KB19Z4,23-05-2024,32.0103,0.2,0.07,-0.13,1.54
India Cosumption,Axis Mutual Fund,Axis NIFTY India Consumption ETF,Nifty India Consumption TRI,https://www.axismf.com/mutual-funds/etfs/axis-nifty-india-consumption-etf/ce-gp,AXISCETF,543357,INF846K016C7,23-09-2021,14.709404,0.38,0.03,-0.35,4.21
EV and New Age Automotive,Groww Mutual Fund,Groww Nifty EV & New Age Automotive ETF,Nifty EV and New Age Automotive  TRI,https://groww.in/etfs/groww-nifty-ev-new-age-automotive-etf,GROWWEV,,INF666M01IH2,12-08-2024,276,0.44,0,-0.48,1.32
Nifty Defence,Groww Mutual Fund,Groww Nifty India Defence ETF,Nifty India Defence TRI,https://www.motilaloswalmf.com/mutual-funds/motilal-oswal-nifty-india-defence-etf,GROWWDEFNC,,INF666M01IO8,11-10-2024,236.0320815,0.43,0,-0.51,1.15
Nifty Internet,Groww Mutual Fund,Groww Nifty India Internet ETF,Nifty India Internet TRI,https://groww.in/etfs/groww-nifty-india-internet-etf-ltd,GROWWNET,,INF666M01LI4,03-07-2025,23.43,0.38,0,,0.43
Railways PSU,Groww Mutual Fund,Groww Nifty India Railways PSU ETF,Nifty India Railways PSU Index TRI.,https://groww.in/etfs/groww-nifty-india-railways-psu-etf,GROWWRAL,94517,INF666M01JJ6,05-02-2025,91.35,0.49,0,,0.83
Commodities,ICICI Prudential MF,ICICI Prudential Nifty Commodities ETF,Nifty Commodities TRI,https://www.icicietf.com/funds/equity-etf/icici-prudential-nifty-commodities-etf,COMMOIETF,543710,INF109KC19O8,21-12-2022,110.46,0.3,0.03,-0.46,2.96
EV and New Age Automotive,ICICI Prudential MF,ICICI Prudential Nifty EV & New Age Automotive ETF,Nifty EV and New Age Automotive  TRI,https://www.icicietf.com/funds/equity-etf/icici-prudential-nifty-ev-&-new-age-automotive,EVIETF,544394,INF109K1A153,15-04-2025,30.72,0.44,0.12,-0.39,0.64
India Cosumption,ICICI Prudential MF,ICICI Prudential Nifty India Consumption ETF,Nifty India Consumption TRI,https://www.icicietf.com/funds/equity-etf/icici-prudential-consumption-etf,CONSUMIETF,543383,INF109KC1V42,02-11-2021,69.06,0.2,0.03,-0.32,4.1
Nifty Infra,ICICI Prudential MF,ICICI Prudential Nifty Infrastructure ETF,Nifty Infrastructure TRI,https://www.icicietf.com/funds/equity-etf/icici-prudential-nifty-infrastructure-etf,INFRAIETF,543571,INF109KC16E5,17-08-2022,349.588636,0.5,0.04,-0.03,3.31
India Cosumption,Kotak Mahindra Mutual Fund,Kotak Nifty India Consumption ETF,Nifty India Consumption TRI,https://www.kotakmf.com/mutual-funds/passive-funds/kotak-nifty-india-consumption-etf,CONS,,INF174KA1JE5,04-08-2022,23.0591,0.1,0.05,-0.33,3.34
Energy,Mirae Asset Mutual Fund,Mirae Asset Nifty Energy ETF,Nifty Energy TRI,https://www.miraeassetmf.co.in/mutual-fund-scheme/etf/mirae-asset-nifty-energy-etf,ENERGY,,INF769K01PR2,13-11-2025,,,0,,0.06
EV and New Age Automotive,Mirae Asset Mutual Fund,Mirae Asset Nifty EV and New Age Automotive ETF,Nifty EV and New Age Automotive  TRI,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.miraeassetmf.co.in/docs/default-source/transaction-forms/mirae-asset-ev-and-new-age-automotive-etf.pdf?sfvrsn=3c745412_2,EVINDIA,544212,INF769K01LQ3,16-07-2024,171,0.39,0.44,-0.44,1.39
Nifty Services,Mirae Asset Mutual Fund,Mirae Asset Nifty Financial Services ETF,Nifty Financial Services TRI,https://miraeassetetf.co.in/our-etfs/fund?nseSymbol=BFSI,BFSI,543323,INF769K01HI8,30-07-2021,438,0.12,0.02,,4.36
Nifty Internet,Mirae Asset Mutual Fund,Mirae Asset Nifty India Internet ETF,Nifty India Internet TRI,https://miraeassetetf.co.in/our-etfs/fund?nseSymbol=INTERNET,INTERNET,544438,INF769K01PB6,18-06-2025,16.52,0.19,0.07,-0.12,0.47
Nifty Manufacturing,Mirae Asset Mutual Fund,Mirae Asset Nifty India Manufacturing ETF,Nifty India Manufacturing TRI,https://miraeassetetf.co.in/our-etfs/fund?nseSymbol=MAKEINDIA,MAKEINDIA,543454,INF769K01IB1,27-01-2022,218.174,0.53,0.05,-0.59,3.86
New Age Consumtion,Mirae Asset Mutual Fund,Mirae Asset Nifty India New Age Consumption ETF,Nifty India New Age Consumption TRI,https://miraeassetetf.co.in/our-etfs/fund?nseSymbol=CONSUMER,CONSUMER,544323,INF769K01NS5,26-12-2024,38.0433,0.3,0.1,-0.32,0.95
Nifty 100 ESG Sector Leaders Index,Mirae Asset Mutual Fund,MIRAE ASSET NIFTY 100 ESG SECTOR LEADERS ETF,Nifty 100 ESG Sector Leaders TRI,https://miraeassetetf.co.in/our-etfs/fund?nseSymbol=ESG,ESG,543246,INF769K01GS9,17-11-2020,117.37,0.1,0.06,-0.78,5.05
Capital Market,Motilal Oswal Mutual Fund,Motilal Oswal Nifty Capital Market ETF,Nifty Capital Market  TRI,https://www.motilaloswalmf.com/mutual-funds/motilal-oswal-nifty-capital-market-etf,MOCAPITAL,,INF247L01EV3,13-05-2025,99.1291,0.53,0.07,-0.65,0.57
Energy,Motilal Oswal Mutual Fund,Motilal Oswal Nifty Energy ETF,Nifty Energy TRI,https://www.motilaloswalmf.com/etf/motilal-oswal-nifty-energy-etf#Performance,MOENERGY,,INF247L01GH7,13-10-2025,,0.5,0.03,-0.15,0.15
Nifty Defence,Motilal Oswal Mutual Fund,Motilal Oswal Nifty India Defence ETF,Nifty India Defence TRI,https://www.motilaloswalmf.com/mutual-funds/motilal-oswal-nifty-india-defence-etf,MODEFENCE,140518913,INF247L01DJ0,27-08-2024,872.0651,0.41,0.1,-0.69,1.28
Nifty Manufacturing,Motilal Oswal Mutual Fund,Motilal Oswal Nifty India Manufacturing ETF,Nifty India Manufacturing TRI,https://www.motilaloswalmf.com/etf/motilal-oswal-nifty-india-manufacturing-etf,MOMGF,,INF247L01FK3,28-05-2025,1.8994,0.52,0.23,-0.46,0.53
Nifty Tourism,Motilal Oswal Mutual Fund,Motilal Oswal Nifty India Tourism ETF,Nifty India Tourism TRI,https://www.motilaloswalmf.com/etf/motilal-oswal-nifty-india-tourism-etf,MOTOUR,,INF247L01FP2,09-06-2025,4.21,0.52,0.52,-0.22,0.49
Nifty MNC,Motilal Oswal Mutual Fund,Motilal Oswal Nifty MNC ETF,Nifty MNC TRI,https://www.icicidirect.com/mutual-funds/nav-details/motilal-oswal-nifty-mnc-etf,MOMNC,,INF247L01GK1,01-12-2025,,,,,0.01
CPSE,Motilal Oswal Mutual Fund,Motilal Oswal Nifty PSE ETF,Nifty CPSE TRI,https://www.motilaloswalmf.com/mutual-funds/motilal-oswal-nifty-pse-etf,MOPSE,,INF247L01FO5,05-06-2025,1.2154,0.52,0.05,-0.4,0.5
Nifty PSE,Motilal Oswal Mutual Fund,Motilal Oswal Nifty PSE ETF,Nifty PSE TRI,https://www.motilaloswalmf.com/mutual-funds/motilal-oswal-nifty-pse-etf,MOPSE,,INF247L01FO5,05-06-2025,1.2154,0.52,0.05,-0.4,0.5
Nifty Services,Motilal Oswal Mutual Fund,Motilal Oswal Nifty Services Sector ETF,Nifty Financial Services TRI,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.motilaloswalmf.com/CMS/assets/uploads/Documents/9d6b8-2.-annexure-ii-kim_motilal-oswal-nifty-service-sector-etf-clean.pdf,MOSERVICE,,INF247L01GJ3,27-11-2025,,,,,0.02
Nifty 50 shariah,Nippon India Mutual Fund,Nippon India ETF Nifty 50 Shariah BeES,Nifty50 Shariah TRI.,https://mf.nipponindiaim.com/FundsAndPerformance/Pages/NipponIndia-ETF-Nifty-50-Shariah-BeES.aspx,SHARIABEES,,INF732E01128,18-03-2009,54.62,0.96,0.1,-1.17,16.73
India Cosumption,Nippon India Mutual Fund,Nippon India ETF Nifty India Consumption,Nifty India Consumption TRI,https://mf.nipponindiaim.com/FundsAndPerformance/Pages/NipponIndia-ETF-Nifty-India-Consumption.aspx,CONSUMBEES,,INF204KA1LD7,11-04-2014,200.582996,0.31,0.03,-0.28,11.66
Nifty Infra,Nippon India Mutual Fund,Nippon India ETF Nifty Infrastructure BeES,Nifty Infrastructure TRI,https://mf.nipponindiaim.com/FundsAndPerformance/Pages/NipponIndia-ETF-Nifty-Infrastructure-BeES.aspx,INFRABEES,543255,INF732E01268,05-10-2010,166.289367,1.03,0.06,-1.2,15.18
India Cosumption,SBI Mutual Fund,SBI ETF Consumption,Nifty India Consumption TRI,https://www.sbimf.com/sbimf-scheme-details/sbi-nifty-consumption-etf-592,SBIETFCON,,INF200KA1X17,02-07-2021,25.1263,0.25,0.02,-0.42,4.43
Nifty Digital,Tata Mutual Fund,Tata Nifty India Digital Exchange Traded Fund,Nifty India Digital TRI,https://www.tatamutualfund.com/mutual-funds/tata-nifty-india-digital-exchange-traded-fund-direct-growth,TNIDETF,,INF277KA1364,08-04-2022,177.3139862,0.39,0.12,-0.26,3.67
Nifty Top 10,DSP Mutual Fund,DSP Nifty Top 10 Equal Weight ETF,Nifty Top 10 Equal Weight TRI,,TOP10ADD,544247,INF740KA1UR9,05-09-2024,783.2408,0.14,0.04,-0.14,1.25
